,place_id,name,lat,lng,rating,user_ratings_total,price_level,formatted_address,global_code,compound_code,planning_area,brand,establishment,point_of_interest,store,food,health,restaurant,hospital,lodging,finance,cafe,convenience_store,clothing_store,atm,shopping_mall,grocery_or_supermarket,home_goods_store,school,bakery,beauty_salon,transit_station,place_of_worship,pharmacy,meal_takeaway,furniture_store,tourist_attraction,secondary_school,supermarket,doctor,shoe_store,dentist,jewelry_store,church,bank,primary_school,electronics_store,gym,spa,car_repair,pet_store,bus_station,university,park,general_contractor,subway_station,real_estate_agency,florist,hair_care,department_store,hardware_store,car_dealer,veterinary_care,travel_agency,bicycle_store,book_store,laundry,plumber,meal_delivery,lawyer,parking,mosque,physiotherapist,art_gallery,insurance_agency,bar,museum,storage,movie_theater,moving_company,liquor_store,gas_station,electrician,car_rental,locksmith,car_wash,post_office,embassy,night_club,fire_station,amusement_park,library,hindu_temple,local_government_office,funeral_home,bowling_alley,cemetery,aquarium,roofing_contractor,stadium,painter,courthouse,drugstore,campground,accounting,airport,zoo,casino,synagogue,premise,taxi_stand,police,light_rail_station,city_hall,train_station,natural_feature,subpremise,SUBZONE_NO,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
440,ChIJZ92KT5IZ2jERM8Hy_UDJ36s,Parkway Cancer Centre Singapore - Mount Elizabeth Hospital,1.304856,103.835402,5.0,1.0,,"3 Mount Elizabeth, Level 2 Hospital, Singapore 228510",6PH58R3P+W5,8R3P+W5 Singapore,Newton,,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,CAIRNHILL,NTSZ04,NEWTON,NT,CENTRAL REGION,CR
441,ChIJZSEf5Hob2jERZrGa1S_iC3k,HPV,1.3138283000000002,103.7593183,0.0,0.0,,"Singapore, W Coast Dr, 128020",6PH58Q75+GP,8Q75+GP Singapore,Clementi,,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,WEST COAST,CLSZ05,CLEMENTI,CL,WEST REGION,WR
442,ChIJZUrS_mkT2jERiy0X6rwccvg,WHC Site Office,1.4274553,103.7976688,1.5,2.0,,"Woodlands Ave 1, Singapore 739071",6PH5CQGX+X3,CQGX+X3 Singapore,Woodlands,,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,WOODLANDS SOUTH,WDSZ04,WOODLANDS,WD,NORTH REGION,NR
443,ChIJZVw-z1o92jERJFAtZ4hVBNg,KCS Medical Group,1.3368124,103.9253785,3.0,4.0,,"718 Bedok Reservoir Rd, Singapore 470718",6PH58WPG+P5,8WPG+P5 Singapore,Bedok,,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,BEDOK RESERVOIR,BDSZ02,BEDOK,BD,EAST REGION,ER
444,ChIJZWABMZIZ2jER0p54irWQeiE,Precious Medical Centre,1.3045279,103.8364903,4.3,12.0,,"290, #12-01 Orchard Rd, Paragon, Singapore 238859",6PH58R3P+H7,8R3P+H7 Singapore,Orchard,,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,CAIRNHILL,NTSZ04,NEWTON,NT,CENTRAL REGION,CR
445,ChIJZYI_oXEY2jER-L6dN3cDjZI,SKN MediAesthetics (Parkway Parade),1.3013718,103.905449,0.0,0.0,,"80 Marine Parade Road #05-01, Parkway Parade, Singapore 449269",6PH58W24+G5,8W24+G5 Singapore,Marine Parade,,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,MARINE PARADE,MPSZ03,MARINE PARADE,MP,CENTRAL REGION,CR
446,ChIJZyS0i7wZ2jERPIHIJWYIqNo,G P Medical Centre & Surgery,1.3007534,103.8495316,5.0,2.0,,"35 Selegie Rd, #03-03 Parklane Shopping Mall, Singapore 188307",6PH58R2X+8R,8R2X+8R Singapore,Rochor,,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8,SELEGIE,RCSZ08,ROCHOR,RC,CENTRAL REGION,CR
447,ChIJZybLu1s92jERuBKvdQXAK_A,Fresenius Medical Care Bedok Reservoir Dialysis Center,1.3377536,103.9213856,0.0,0.0,,"Bedok Reservoir Rd, #01-3033/3035 Blk 744, Singapore 470744",6PH58WQC+4H,8WQC+4H Singapore,Bedok,,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,BEDOK RESERVOIR,BDSZ02,BEDOK,BD,EAST REGION,ER
448,ChIJ_-fXRP0Z2jERaFbrCu204GI,Paragon Medical drop off point,1.3043055,103.8356983,4.0,1.0,,"290 Orchard Rd, Singapore 238859",6PH58R3P+P7,8R3P+P7 Singapore,Orchard,,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,BOULEVARD,ORSZ02,ORCHARD,OR,CENTRAL REGION,CR
449,ChIJ_2MSWHUP2jER63-fFh3Md1Q,Health Centre NTU,1.3454276,103.6826525,3.5,29.0,,"36 Nanyang Ave, University Health Service Building, Singapore 639801",6PH58MWM+53,8MWM+53 Singapore,Western Water Catchment,,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,MURAI,WCSZ01,WESTERN WATER CATCHMENT,WC,WEST REGION,WR
